iter	Passed	Remaining
0	164	164320
1	168	83994
2	173	57567
3	178	44359
4	183	36595
5	187	31074
6	191	27139
7	194	24172
8	200	22028
9	204	20269
10	209	18814
11	213	17553
12	216	16452
13	221	15626
14	224	14768
15	227	13972
16	229	13268
17	231	12647
18	234	12087
19	236	11565
20	239	11144
21	241	10717
22	242	10319
23	245	9964
24	246	9624
25	248	9302
26	250	9016
27	252	8750
28	253	8492
29	256	8285
30	258	8070
31	260	7867
32	263	7707
33	264	7521
34	266	7342
35	268	7177
36	269	7019
37	271	6877
38	273	6740
39	275	6611
40	277	6487
41	278	6361
42	280	6245
43	282	6134
44	283	6023
45	285	5913
46	286	5814
47	288	5719
48	290	5628
49	291	5538
50	293	5452
51	294	5375
52	296	5297
53	298	5221
54	299	5152
55	301	5088
56	303	5022
57	305	4954
58	306	4894
59	308	4833
60	309	4771
61	311	4712
62	313	4665
63	315	4612
64	316	4557
65	318	4506
66	320	4460
67	321	4410
68	323	4363
69	324	4316
70	327	4279
71	328	4235
72	330	4191
73	331	4151
74	333	4115
75	335	4077
76	336	4037
77	338	4006
78	340	3975
79	342	3940
80	344	3906
81	346	3876
82	348	3847
83	349	3814
84	351	3784
85	353	3754
86	354	3722
87	356	3693
88	358	3665
89	359	3636
90	361	3606
91	362	3578
92	364	3551
93	365	3526
94	367	3500
95	368	3474
96	370	3450
97	372	3428
98	373	3403
99	375	3379
100	377	3358
101	379	3339
102	380	3317
103	382	3294
104	384	3277
105	386	3260
106	388	3238
107	389	3220
108	391	3203
109	393	3183
110	394	3163
111	396	3144
112	398	3128
113	400	3110
114	401	3092
115	403	3075
116	405	3058
117	406	3040
118	408	3022
119	409	3005
120	411	2989
121	413	2972
122	414	2955
123	416	2939
124	417	2924
125	419	2908
126	420	2891
127	422	2879
128	424	2865
129	425	2850
130	427	2835
131	428	2820
132	430	2806
133	432	2792
134	433	2777
135	435	2765
136	437	2754
137	438	2740
138	440	2726
139	442	2717
140	444	2705
141	445	2692
142	447	2679
143	449	2669
144	450	2658
145	452	2645
146	453	2632
147	455	2621
148	457	2610
149	458	2598
150	459	2585
151	461	2575
152	463	2565
153	465	2554
154	466	2543
155	468	2534
156	470	2524
157	471	2513
158	473	2503
159	475	2494
160	476	2484
161	478	2474
162	480	2465
163	481	2455
164	482	2443
165	484	2433
166	485	2423
167	487	2414
168	489	2406
169	490	2396
170	492	2389
171	495	2383
172	496	2375
173	497	2363
174	499	2356
175	501	2349
176	503	2340
177	504	2331
178	506	2322
179	508	2315
180	509	2307
181	511	2298
182	513	2291
183	515	2285
184	516	2276
185	518	2269
186	520	2261
187	521	2254
188	523	2246
189	525	2239
190	526	2232
191	528	2225
192	530	2217
193	532	2210
194	534	2204
195	535	2197
196	537	2189
197	539	2183
198	540	2176
199	542	2168
200	543	2160
201	545	2153
202	546	2147
203	548	2139
204	549	2131
205	551	2125
206	553	2118
207	554	2111
208	556	2104
209	557	2097
210	559	2091
211	560	2084
212	562	2077
213	563	2071
214	565	2064
215	566	2057
216	568	2050
217	569	2044
218	571	2038
219	573	2032
220	574	2025
221	576	2019
222	577	2012
223	579	2006
224	581	2001
225	582	1996
226	584	1991
227	586	1986
228	588	1980
229	589	1974
230	591	1970
231	593	1964
232	594	1957
233	596	1952
234	598	1948
235	599	1942
236	601	1936
237	603	1931
238	604	1926
239	606	1920
240	607	1914
241	609	1910
242	611	1905
243	613	1899
244	614	1893
245	616	1888
246	617	1883
247	619	1877
248	620	1871
249	622	1866
250	624	1862
251	625	1856
252	626	1851
253	628	1846
254	630	1841
255	631	1836
256	633	1831
257	635	1826
258	636	1822
259	638	1817
260	640	1812
261	641	1807
262	643	1803
263	644	1797
264	646	1792
265	647	1787
266	649	1782
267	650	1777
268	652	1772
269	653	1767
270	655	1762
271	656	1757
272	658	1752
273	659	1747
274	660	1741
275	662	1737
276	663	1732
277	665	1728
278	666	1723
279	668	1720
280	670	1716
281	672	1711
282	673	1707
283	675	1703
284	677	1698
285	678	1693
286	679	1688
287	681	1685
288	683	1681
289	684	1676
290	686	1672
291	688	1668
292	689	1664
293	691	1659
294	692	1655
295	694	1650
296	695	1646
297	697	1642
298	698	1637
299	700	1633
300	701	1629
301	703	1625
302	704	1620
303	706	1616
304	708	1613
305	709	1609
306	711	1605
307	712	1601
308	714	1598
309	715	1593
310	717	1589
311	718	1584
312	720	1581
313	721	1577
314	723	1572
315	724	1568
316	726	1564
317	727	1561
318	729	1556
319	730	1552
320	732	1548
321	733	1544
322	735	1541
323	736	1537
324	738	1533
325	740	1530
326	741	1526
327	742	1522
328	744	1518
329	746	1515
330	747	1511
331	749	1507
332	750	1503
333	752	1500
334	754	1496
335	755	1492
336	756	1489
337	758	1485
338	760	1482
339	762	1479
340	763	1475
341	765	1472
342	766	1468
343	768	1464
344	769	1460
345	771	1457
346	772	1454
347	774	1450
348	775	1447
349	777	1443
350	778	1440
351	780	1436
352	781	1432
353	783	1428
354	784	1425
355	786	1422
356	787	1418
357	789	1415
358	790	1411
359	792	1408
360	793	1405
361	795	1401
362	796	1398
363	798	1395
364	800	1391
365	801	1388
366	803	1385
367	804	1382
368	806	1378
369	807	1375
370	809	1371
371	810	1369
372	812	1365
373	813	1362
374	815	1358
375	817	1355
376	818	1352
377	820	1349
378	821	1346
379	822	1342
380	824	1339
381	826	1336
382	827	1333
383	829	1330
384	831	1327
385	832	1324
386	834	1321
387	835	1318
388	837	1314
389	838	1311
390	839	1308
391	841	1304
392	842	1301
393	844	1298
394	845	1295
395	847	1292
396	848	1289
397	850	1285
398	851	1282
399	852	1279
400	854	1276
401	856	1273
402	857	1270
403	859	1267
404	860	1264
405	862	1261
406	864	1258
407	865	1255
408	866	1252
409	868	1249
410	869	1246
411	871	1243
412	872	1240
413	874	1237
414	875	1234
415	877	1231
416	878	1228
417	880	1225
418	882	1223
419	883	1220
420	885	1217
421	886	1214
422	888	1212
423	890	1209
424	891	1206
425	893	1203
426	895	1201
427	896	1198
428	897	1195
429	899	1192
430	900	1189
431	902	1186
432	904	1183
433	905	1181
434	907	1178
435	908	1175
436	910	1172
437	911	1170
438	913	1167
439	915	1164
440	916	1161
441	917	1158
442	919	1156
443	921	1153
444	922	1150
445	923	1147
446	925	1145
447	927	1142
448	929	1140
449	930	1137
450	931	1134
451	933	1131
452	935	1129
453	936	1126
454	937	1123
455	939	1120
456	941	1118
457	942	1115
458	943	1112
459	945	1109
460	947	1107
461	948	1104
462	949	1101
463	951	1099
464	953	1096
465	954	1094
466	956	1091
467	957	1088
468	959	1086
469	960	1083
470	962	1080
471	963	1077
472	965	1075
473	966	1072
474	968	1070
475	969	1067
476	971	1064
477	973	1062
478	974	1060
479	976	1057
480	977	1054
481	979	1052
482	980	1049
483	982	1046
484	983	1044
485	985	1042
486	987	1039
487	988	1037
488	990	1034
489	992	1032
490	994	1030
491	995	1028
492	998	1026
493	1000	1024
494	1002	1022
495	1003	1020
496	1005	1018
497	1007	1015
498	1009	1013
499	1011	1011
500	1013	1009
501	1015	1007
502	1016	1004
503	1018	1002
504	1020	1000
505	1021	997
506	1023	995
507	1025	993
508	1027	991
509	1029	989
